================================================================================
重复文件审核清单
================================================================================

【第一类】目录内重复文件（标准版 + 带前缀版并存，可删除带前缀版）
--------------------------------------------------------------------------------
共 28541 个目录，29414 个重复文件

序号     目录名                                      重复文件
148    X20648_佛教南传戒律_26                         佛教南传戒律_原文.md
149    X15353_佛教十度研究_15                         佛教十度研究_原文.md
150    X23381_佛教十地研究_31                         佛教十地研究_原文.md
151    X10326_佛教四禅八定研究_5                        佛教四禅八定研究_原文.md
152    X6643_佛教四依法研究_6                          佛教四依法研究_原文.md
153    X12225_佛教正念研究_9                          佛教正念研究_原文.md
154    X26303_佛教方法论_37                          佛教方法论_原文.md
155    X23225_佛教欧美经典_31                         佛教欧美经典_原文.md
156    X8663_佛教创新心理学_2                          佛教创新心理学_原文.md
157    X456_大乘起信论圆满钞                            大乘起信论圆满钞_原文.md
157    X456_大乘起信论圆满钞                            大乘起信论圆满钞_解讀_學術.md
157    X456_大乘起信论圆满钞                            大乘起信论圆满钞_解讀_白話.md
158    X13021_佛教密宗论书_11                         佛教密宗论书_原文.md
159    X4828_佛教老挝经典_3                           佛教老挝经典_原文.md
160    X10091_佛教结构主义_5                          佛教结构主义_原文.md
161    X16220_佛教去中心化_17                         佛教去中心化_原文.md
162    X7533_佛教马来经典                             佛教马来经典_原文.md
163    X15171_佛教方法论_15                          佛教方法论_原文.md
164    X26069_佛教九想研究_36                         佛教九想研究_原文.md
165    X11553_佛教藏传仪式_8                          佛教藏传仪式_原文.md
166    X24632_佛教禅宗灯录_34                         佛教禅宗灯录_原文.md
167    X15791_佛教十地研究_16                         佛教十地研究_原文.md
168    X12424_阿含经选_10                           阿含经选_原文.md
169    X13174_佛教图像识别_11                         佛教图像识别_原文.md
170    X8314_佛教慈悲观研究_1                          佛教慈悲观研究_原文.md
171    X2586_佛教绘画_8                             佛教绘画_原文.md
172    X4796_佛教南传艺术_3                           佛教南传艺术_原文.md
173    X14146_佛教人权思想_13                         佛教人权思想_原文.md
174    X15375_佛教四成就研究_15                        佛教四成就研究_原文.md
175    X5483_佛教涅槃研究_4                           佛教涅槃研究_原文.md
176    X26245_佛教西域经典_37                         佛教西域经典_原文.md
177    X21208_佛教版本学_27                          佛教版本学_原文.md
178    X22695_佛教汉传仪式_30                         佛教汉传仪式_原文.md
179    X21616_佛教净土经典_28                         佛教净土经典_原文.md
180    X23575_戒律论书_32                           戒律论书_原文.md
181    X1664_律藏补遗_3                             律藏补遗_原文.md
182    X23099_佛教小说_31                           佛教小说_原文.md
183    X19712_佛教人权思想_24                         佛教人权思想_原文.md
184    X20348_佛教十住研究_25                         佛教十住研究_原文.md
185    X18596_佛教密宗观想_22                         佛教密宗观想_原文.md
186    X20374_佛教二十诸天研究_25                       佛教二十诸天研究_原文.md
187    X9084_佛教和平主义_3                           佛教和平主义_原文.md
188    X27252_佛教汉传建筑_39                         佛教汉传建筑_原文.md
189    X11319_佛教四悉檀研究_7                         佛教四悉檀研究_原文.md
190    X8370_佛教慈悲观研究_1                          佛教慈悲观研究_原文.md
191    X11640_佛教网络学_8                           佛教网络学_原文.md
192    X24667_佛教密宗种子字_34                        佛教密宗种子字_原文.md
193    X27468_佛教三十七道品研究_39                      佛教三十七道品研究_原文.md
194    X16432_佛教四料拣研究_17                        佛教四料拣研究_原文.md
195    X1260_佛教南传建筑                             佛教南传建筑_原文.md
196    X3510_佛教二十五有研究                           佛教二十五有研究_原文.md
197    X6727_佛教教育学_7                            佛教教育学_原文.md
198    X8671_佛教安全心理学_2                          佛教安全心理学_原文.md
199    X16426_佛教四摄受研究_17                        佛教四摄受研究_原文.md
200    X15483_佛教史传_16                           佛教史传_原文.md
201    X7382_因明论书                               因明论书_原文.md
202    X21780_佛教智能代理_28                         佛教智能代理_原文.md
203    X10573_佛教蒙古经典_6                          佛教蒙古经典_原文.md
204    X20384_佛教三十七道品研究_25                      佛教三十七道品研究_原文.md
205    X9133_佛教区块链_3                            佛教区块链_原文.md
206    X2812_佛教地论宗谱_9                           佛教地论宗谱_原文.md
207    X18215_佛教交流学_21                          佛教交流学_原文.md
208    X23702_佛教汉传论书_32                         佛教汉传论书_原文.md
209    X12656_佛教统计学_10                          佛教统计学_原文.md
210    X1388_佛教禅宗名山志_1                          佛教禅宗名山志_原文.md
211    X13762_佛教天道研究_12                         佛教天道研究_原文.md
212    X2437_佛教居士传_7                            佛教居士传_原文.md
213    X15500_佛教教育学_16                          佛教教育学_原文.md
214    X22339_佛教幸福心理学_29                        佛教幸福心理学_原文.md
215    X3938_佛教创新心理学_1                          佛教创新心理学_原文.md
216    X10667_佛教心理咨询_6                          佛教心理咨询_原文.md
217    X1738_佛教地论宗谱_3                           佛教地论宗谱_原文.md
218    X27066_佛教四清净研究_38                        佛教四清净研究_原文.md
219    X5686_禅宗语录_5                             禅宗语录_原文.md
220    X21708_佛教非洲经典_28                         佛教非洲经典_原文.md
221    X11411_佛教持息念研究_7                         佛教持息念研究_原文.md
222    X159_四分律删补随机羯磨                           四分律删补随机羯磨_原文.md
223    X21645_佛教密宗布施_28                         佛教密宗布施_原文.md
224    X13135_佛教民主思想_11                         佛教民主思想_原文.md
225    X23022_佛教四自在研究_30                        佛教四自在研究_原文.md
226    X12979_佛教小说_11                           佛教小说_原文.md
227    X26524_佛教八解脱研究_37                        佛教八解脱研究_原文.md
228    X14766_佛教轮回研究_14                         佛教轮回研究_原文.md
229    X20467_佛教四摄法研究_25                        佛教四摄法研究_原文.md
230    X1841_佛教世界经典_3                           佛教世界经典_原文.md
231    X24839_佛教发展心理学_34                        佛教发展心理学_原文.md
232    X4183_佛教音乐_2                             佛教音乐_原文.md
233    X1806_佛教藏传艺术_3                           佛教藏传艺术_原文.md
234    X13048_佛教密宗般若_11                         佛教密宗般若_原文.md
235    X3780_佛教南传历史_1                           佛教南传历史_原文.md
236    X25875_佛教安全心理学_36                        佛教安全心理学_原文.md
237    X5320_佛教汉传仪式_4                           佛教汉传仪式_原文.md
238    X25456_佛教十一切处研究_35                       佛教十一切处研究_原文.md
239    X12513_佛教净土往生传_10                        佛教净土往生传_原文.md
240    X6126_佛教四梵住研究_5                          佛教四梵住研究_原文.md
241    X27700_佛教密宗护摩_40                         佛教密宗护摩_原文.md
242    X17624_佛教藏传寺院_20                         佛教藏传寺院_原文.md
243    X19175_佛教蒙古经典_23                         佛教蒙古经典_原文.md
244    X23976_佛教四究竟研究_32                        佛教四究竟研究_原文.md
245    X7140_佛教四摄法研究_7                          佛教四摄法研究_原文.md
246    X27581_佛教四梵住研究_39                        佛教四梵住研究_原文.md
247    X11487_佛教地论宗谱_8                          佛教地论宗谱_原文.md
248    X10173_佛教环境心理学_5                         佛教环境心理学_原文.md
249    X12874_佛教四无量心研究_10                       佛教四无量心研究_原文.md
250    X2212_密宗仪轨_6                             密宗仪轨_原文.md
251    X11140_佛教图谱学_7                           佛教图谱学_原文.md
252    X20583_佛教护法传_26                          佛教护法传_原文.md
253    X21100_佛教涅槃宗谱_27                         佛教涅槃宗谱_原文.md
254    X766_噶举派大手印桑杰年巴文集                        噶举派大手印桑杰年巴文集_原文.md
255    X20273_佛教生物计算_25                         佛教生物计算_原文.md
256    X6658_佛教四成就研究_6                          佛教四成就研究_原文.md
257    X11164_佛教量子计算_7                          佛教量子计算_原文.md
258    X23218_佛教印尼经典_31                         佛教印尼经典_原文.md
259    X25210_佛教藏传论书_35                         佛教藏传论书_原文.md
260    X27511_佛教四悉檀研究_39                        佛教四悉檀研究_原文.md
261    X22195_佛教南亚经典_29                         佛教南亚经典_原文.md
262    X15388_佛教十想研究_15                         佛教十想研究_原文.md
263    X13041_佛教密宗诛法_11                         佛教密宗诛法_原文.md
264    X24816_佛教智能代理_34                         佛教智能代理_原文.md
265    X25550_佛教四究竟研究_35                        佛教四究竟研究_原文.md
266    X16504_佛教节日_18                           佛教节日_原文.md
267    X22244_佛教自由思想_29                         佛教自由思想_原文.md
268    X4166_维摩诘经_2                             维摩诘经_原文.md
269    X24140_佛教禅宗偈颂_33                         佛教禅宗偈颂_原文.md
270    X27409_佛教智慧研究_39                         佛教智慧研究_原文.md
271    X8238_佛教四圣谛研究_1                          佛教四圣谛研究_原文.md
272    X23690_佛教南传建筑_32                         佛教南传建筑_原文.md
273    X23343_佛教航空心理学_31                        佛教航空心理学_原文.md
274    X5019_佛教二十四诸天研究_3                        佛教二十四诸天研究_原文.md
275    X21230_佛教人权思想_27                         佛教人权思想_原文.md
276    X1767_佛教密宗治病_3                           佛教密宗治病_原文.md
277    X11145_佛教深度学习_7                          佛教深度学习_原文.md
278    X24180_佛教密宗般若_33                         佛教密宗般若_原文.md
279    X5146_佛教四梵住研究_3                          佛教四梵住研究_原文.md
280    X25047_佛教四无畏研究_34                        佛教四无畏研究_原文.md
281    X19198_佛教存在主义_23                         佛教存在主义_原文.md
282    X12169_佛教区块链_9                           佛教区块链_原文.md
283    X13967_佛教艺术_13                           佛教艺术_原文.md
284    X19167_佛教老挝经典_23                         佛教老挝经典_原文.md
285    X12141_佛教比较学_9                           佛教比较学_原文.md
286    X6759_佛教成实宗谱_7                           佛教成实宗谱_原文.md
287    X3900_佛教聊天机器人_1                          佛教聊天机器人_原文.md
288    X18959_佛教四料简研究_22                        佛教四料简研究_原文.md
289    X7785_佛教四成就研究                            佛教四成就研究_原文.md
290    X25648_佛教密宗谱_36                          佛教密宗谱_原文.md
291    X1876_佛教伦理_4                             佛教伦理_原文.md
292    X25817_佛教人工智能_36                         佛教人工智能_原文.md
293    X18737_佛教自然语言_22                         佛教自然语言_原文.md
294    X26906_佛教涅槃研究_38                         佛教涅槃研究_原文.md
295    X10404_般若心经_6                            般若心经_原文.md
296    X26204_佛教密宗般若_37                         佛教密宗般若_原文.md
297    X27755_佛教汉传仪式_40                         佛教汉传仪式_原文.md
298    X3161_中观论书                               中观论书_原文.md
299    X14811_佛教三界研究_14                         佛教三界研究_原文.md
300    X19283_佛教消费心理学_23                        佛教消费心理学_原文.md
301    X9770_佛教十一切处研究_4                         佛教十一切处研究_原文.md
302    X27413_佛教空性研究_39                         佛教空性研究_原文.md
303    X19471_佛教四悉檀研究_23                        佛教四悉檀研究_原文.md
304    X595_南传小史                                南传小史_原文.md
305    X17088_佛教密宗调伏_19                         佛教密宗调伏_原文.md
306    X21641_佛教密宗敬爱_28                         佛教密宗敬爱_原文.md
307    X22111_佛教俱舍宗谱_29                         佛教俱舍宗谱_原文.md
308    X6010_佛教十行研究_5                           佛教十行研究_原文.md
309    X9608_佛教道德论_4                            佛教道德论_原文.md
310    X340_萨迦派那洛六法                             萨迦派那洛六法_原文.md
311    X16746_佛教临床心理学_18                        佛教临床心理学_原文.md
312    X3983_佛教五道研究_1                           佛教五道研究_原文.md
313    X11534_佛教密宗智_8                           佛教密宗智_原文.md
314    X8009_佛教藏传历史_1                           佛教藏传历史_原文.md
315    X19553_佛教文学_24                           佛教文学_原文.md
316    X11396_佛教十想研究_7                          佛教十想研究_原文.md
317    X16625_佛教汉传艺术_18                         佛教汉传艺术_原文.md
318    X10026_佛教南传节日_5                          佛教南传节日_原文.md
319    X26952_佛教二十诸天研究_38                       佛教二十诸天研究_原文.md
320    X6061_佛教通明禅研究_5                          佛教通明禅研究_原文.md
321    X8749_佛教四念处研究_2                          佛教四念处研究_原文.md
322    X10069_佛教欧美经典_5                          佛教欧美经典_原文.md
323    X6860_佛教蒙古经典_7                           佛教蒙古经典_原文.md
324    X4807_佛教藏传建筑_3                           佛教藏传建筑_原文.md
325    X22600_佛教灵验记_30                          佛教灵验记_原文.md
326    X4991_佛教缘觉研究_3                           佛教缘觉研究_原文.md
327    X6828_佛教藏传仪式_7                           佛教藏传仪式_原文.md
328    X14204_佛教神经科学_13                         佛教神经科学_原文.md
329    X23092_佛教天文学_31                          佛教天文学_原文.md
330    X833_苯教喜金刚心髓                             苯教喜金刚心髓_原文.md
331    X9289_佛教四料简研究_3                          佛教四料简研究_原文.md
332    X5783_佛教密宗增益_5                           佛教密宗增益_原文.md
333    X18259_佛教心理测量_21                         佛教心理测量_原文.md
334    X12691_佛教心理咨询_10                         佛教心理咨询_原文.md
335    X6792_佛教密宗延寿_7                           佛教密宗延寿_原文.md
336    X27888_佛教管理心理学_40                        佛教管理心理学_原文.md
337    X23898_佛教四智研究_32                         佛教四智研究_原文.md
338    X12985_佛教感应录_11                          佛教感应录_原文.md
339    X11873_佛教四依止研究_8                         佛教四依止研究_原文.md
340    X637_禅宗宗门坐禅                              禅宗宗门坐禅_原文.md
341    X25303_佛教数字学_35                          佛教数字学_原文.md
342    X20133_佛教密宗方便_25                         佛教密宗方便_原文.md
343    X5797_佛教密宗智_5                            佛教密宗智_原文.md
344    X19306_佛教超越心理学_23                        佛教超越心理学_原文.md
345    X23486_佛教十一切入研究_31                       佛教十一切入研究_原文.md
346    X7687_佛教畜生研究                             佛教畜生研究_原文.md
347    X2599_佛教医学_8                             佛教医学_原文.md
348    X9632_佛教图像识别_4                           佛教图像识别_原文.md
349    X395_大乘起信论玄义                             大乘起信论玄义_原文.md
349    X395_大乘起信论玄义                             大乘起信论玄义_解讀_學術.md
349    X395_大乘起信论玄义                             大乘起信论玄义_解讀_白話.md
350    X17443_佛教四照用研究_19                        佛教四照用研究_原文.md
351    X19767_佛教生物计算_24                         佛教生物计算_原文.md
352    X1425_佛教密宗愿_1                            佛教密宗愿_原文.md
353    X639_禅宗宗门禅修                              禅宗宗门禅修_原文.md
354    X12343_佛教四无碍研究_9                         佛教四无碍研究_原文.md
355    X4754_佛教密宗论书_3                           佛教密宗论书_原文.md
356    X15026_佛教成实宗谱_15                         佛教成实宗谱_原文.md
357    X1146_大乘论书                               大乘论书_原文.md
358    X2180_佛教西域经典_5                           佛教西域经典_原文.md
359    X23545_佛教八胜处研究_31                        佛教八胜处研究_原文.md
360    X3791_佛教藏传寺院_1                           佛教藏传寺院_原文.md
361    X7494_佛教南传寺院                             佛教南传寺院_原文.md
362    X27169_佛教法相宗谱_39                         佛教法相宗谱_原文.md
363    X22295_佛教边缘计算_29                         佛教边缘计算_原文.md
364    X18600_佛教密宗治病_22                         佛教密宗治病_原文.md
365    X64_长部注疏                                 长部注疏_原文.md
366    X20158_佛教藏传建筑_25                         佛教藏传建筑_原文.md
367    X3467_佛教饿鬼研究                             佛教饿鬼研究_原文.md
368    X9997_佛教密宗神通_5                           佛教密宗神通_原文.md
369    X24535_佛教四真实研究_33                        佛教四真实研究_原文.md
370    X24346_佛教管理心理学_33                        佛教管理心理学_原文.md
371    X22447_佛教四照用研究_29                        佛教四照用研究_原文.md
372    X12416_佛教通明禅研究_9                         佛教通明禅研究_原文.md
373    X1061_禅宗宗门杂录注疏                           禅宗宗门杂录注疏_原文.md
374    X14229_佛教创新心理学_13                        佛教创新心理学_原文.md
375    X236_维摩诘经注                               维摩诘经注_原文.md
375    X236_维摩诘经注                               维摩诘经注_解讀_學術.md
375    X236_维摩诘经注                               维摩诘经注_解讀_白話.md
376    X8950_佛教密宗谱_3                            佛教密宗谱_原文.md
377    X16286_佛教果报研究_17                         佛教果报研究_原文.md
378    X22036_佛教念佛观研究_28                        佛教念佛观研究_原文.md
379    X18353_佛教三界研究_21                         佛教三界研究_原文.md
380    X19415_佛教四悉檀研究_23                        佛教四悉檀研究_原文.md
381    X9342_佛教四摄受研究_3                          佛教四摄受研究_原文.md
382    X22375_佛教十忍研究_29                         佛教十忍研究_原文.md
383    X26309_佛教比较学_37                          佛教比较学_原文.md
384    X11448_佛教心理学_8                           佛教心理学_原文.md
385    X20860_佛教妙觉研究_26                         佛教妙觉研究_原文.md
386    X3560_佛教四无碍解研究                           佛教四无碍解研究_原文.md
387    X2406_佛教建筑_7                             佛教建筑_原文.md
388    X425_大乘起信论真诠                             大乘起信论真诠_原文.md
388    X425_大乘起信论真诠                             大乘起信论真诠_解讀_學術.md
388    X425_大乘起信论真诠                             大乘起信论真诠_解讀_白話.md
389    X13083_佛教汉传艺术_11                         佛教汉传艺术_原文.md
390    X5475_佛教冥想研究_4                           佛教冥想研究_原文.md
391    X7771_佛教四料简研究                            佛教四料简研究_原文.md
392    X14687_佛教深度学习_14                         佛教深度学习_原文.md
393    X10910_般若心经_7                            般若心经_原文.md
394    X19952_佛教慈悲观研究_24                        佛教慈悲观研究_原文.md
395    X16702_佛教信息学_18                          佛教信息学_原文.md
396    X3730_佛教禅宗语录_1                           佛教禅宗语录_原文.md
397    X10672_佛教社会心理学_6                         佛教社会心理学_原文.md
398    X22096_佛教居士传_29                          佛教居士传_原文.md
399    X21457_佛教四禅定研究_27                        佛教四禅定研究_原文.md
400    X3685_佛教伦理_1                             佛教伦理_原文.md
401    X21351_佛教人道研究_27                         佛教人道研究_原文.md
402    X24363_佛教幸福心理学_33                        佛教幸福心理学_原文.md
403    X26281_佛教现象学_37                          佛教现象学_原文.md
404    X21809_佛教工业心理学_28                        佛教工业心理学_原文.md
405    X27141_佛教历法_39                           佛教历法_原文.md
406    X16886_佛教四安乐行研究_18                       佛教四安乐行研究_原文.md
407    X16505_佛教仪式_18                           佛教仪式_原文.md
408    X1763_佛教密宗观想_3                           佛教密宗观想_原文.md
409    X12261_佛教五眼研究_9                          佛教五眼研究_原文.md
410    X17309_佛教十地研究_19                         佛教十地研究_原文.md
411    X3018_佛教密宗成就_10                          佛教密宗成就_原文.md
412    X20698_佛教世界经典_26                         佛教世界经典_原文.md
413    X24209_佛教汉传禅修_33                         佛教汉传禅修_原文.md
414    X18172_佛教版本学_21                          佛教版本学_原文.md
415    X14093_佛教汉传仪式_13                         佛教汉传仪式_原文.md
416    X21235_佛教和谐思想_27                         佛教和谐思想_原文.md
417    X21069_佛教历法_27                           佛教历法_原文.md
418    X20886_佛教四生研究_26                         佛教四生研究_原文.md
419    X10197_佛教存在心理学_5                         佛教存在心理学_原文.md
